Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist,Data Set Contact
164198,1/30/2006,Unknown,Unknown,unknown,Marcos Molina,15.5,,,,,2006.01,,Level 0,VL-VB-3-94,10.31677559,-84.04758451,Derived,5,6.36,81.35,94,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164199,1/30/2006,Fabaceae,Bauhinia,guianensis,Marcos Molina,11.3,,,,,2006.01,,Level 0,VL-VB-3-182,10.31633393,-84.04741093,Derived,9,25.35,32.49,182,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164200,1/30/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,15.2,,,,,2006.01,,Level 0,VL-VB-3-214,10.31613064,-84.04731452,Derived,10,35.9,10,214,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164201,1/30/2006,Bignoniaceae,Callichlamys,latifolia,Marcos Molina,11.9,,,,,2006.01,,Level 0,VL-VB-3-228,10.31607004,-84.04716842,Derived,11,51.9,3.29,228,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164202,1/30/2006,Lamiaceae,Aegiphila,cephalophora,Marcos Molina,11.3,,,D,,2006.01,,Level 0,VL-VB-3-232,10.31618623,-84.0471335,Derived,11,55.73,16.14,232,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164203,1/30/2006,Polygalaceae,Moutabea,gentryi,Marcos Molina,15,,,,,2006.01,,Level 0,VL-VB-3-242,10.31625266,-84.04719407,Derived,12,49.1,23.49,242,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164204,1/30/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.2,,,,,2006.01,,Level 0,VL-VB-3-267,10.31641919,-84.04718757,Derived,13,49.82,41.91,267,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164205,1/30/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,11.8,,,,,2006.01,,Level 0,VL-VB-3-289,10.31649961,-84.04728401,Derived,8,39.26,50.81,289,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164206,1/30/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,12.6,,,,,2006.01,,Level 0,VL-VB-3-376,10.31658297,-84.04708283,Derived,17,61.3,60.02,376,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164207,1/30/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,20.6,,,,,2006.01,,Level 0,VL-VB-3-400,10.31650253,-84.04701131,Derived,18,69.13,51.12,400,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164208,1/31/2006,Unknown,Unknown,unknown,Marcos Molina,13.9,,,I,,2006.01,,Level 0,VL-VB-3-438,10.31625211,-84.04700873,Derived,19,69.4,23.42,438,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164209,1/31/2006,Fabaceae,Bauhinia,guianensis,Marcos Molina,38.5,,,D,,2006.01,,Level 0,VL-VB-3-460,10.31614551,-84.04700996,Derived,20,69.26,11.63,460,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164210,1/31/2006,Unknown,Unknown,unknown,Marcos Molina,11.8,,,,,2006.01,,Level 0,VL-VB-3-492,10.31611878,-84.04675432,Derived,21,97.26,8.66,492,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164211,1/31/2006,Unknown,Unknown,unknown,Marcos Molina,10.9,,,,,2006.01,,Level 0,VL-VB-3-517,10.31635149,-84.04673461,Derived,22,99.43,34.4,517,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164212,1/31/2006,Unknown,Unknown,unknown,Marcos Molina,15,,,,,2006.01,,Level 0,VL-VB-3-526,10.31641203,-84.0468305,Derived,23,88.93,41.1,526,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164213,2/1/2006,Unknown,Unknown,unknown,Marcos Molina,10.8,,,,,2006.01,,Level 0,VL-VB-3-561,10.31659592,-84.04681442,Derived,24,90.7,61.44,561,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164214,2/1/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,10.8,,,,,2006.01,,Level 0,VL-VB-3-586,10.31676374,-84.04677615,Derived,25,94.9,80,586,Volcán Barva,VG-VB-3,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164215,2/5/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,22.2,,,,,2006.01,,Level 0,VL-VB-4-27,10.3447794,-84.05744044,Derived,2,2.4,24.16,27,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164216,2/5/2006,Sapindaceae,Paullinia,pterocarpa,Marcos Molina,10.5,,,,,2006.01,,Level 0,VL-VB-4-64,10.34485083,-84.05774806,Derived,3,3.71,58.74,64,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164217,2/5/2006,Fabaceae,Bauhinia,guianensis,Marcos Molina,12.3,,,,,2006.01,,Level 0,VL-VB-4-81.01,10.34499133,-84.05780887,Derived,4,17.69,68.25,81.01,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164218,2/5/2006,Fabaceae,Bauhinia,guianensis,Marcos Molina,11.8,,,,,2006.01,,Level 0,VL-VB-4-81.02,10.34499133,-84.05780887,Derived,4,17.69,68.25,81.02,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
164219,2/3/2006,Dilleniaceae,Pinzona,coriacea,Marcos Molina,13.7,,,,,2006.01,,Level 0,VL-VB-4-193,10.34503078,-84.05732929,Derived,10,32.02,17.53,193,Volcán Barva,VG-VB-4,Vegetation - Trees & Lianas 1.4,Organization for Tropical Studies,David  Clark,Johanna Hurtado
